,Name,State,Term,Party
29,"LEE, Richard Bland",Virginia,1st Congress (1789-1791),Pro-Administration
30,"GALE, George",Maryland,1st Congress (1789-1791),Pro-Administration
31,"VAN RENSSELAER, Jeremiah",New York,1st Congress (1789-1791),Anti-Administration
32,"GROUT, Jonathan",Massachusetts,1st Congress (1789-1791),Anti-Administration
33,"SCOTT, Thomas",Pennsylvania,1st Congress (1789-1791),Pro-Administration
34,"LIVERMORE, Samuel",New Hampshire,1st Congress (1789-1791),Anti-Administration
35,"FLOYD, William",New York,1st Congress (1789-1791),Anti-Administration
36,"GILMAN, Nicholas",New Hampshire,1st Congress (1789-1791),Pro-Administration
37,"SMITH, William",Maryland,1st Congress (1789-1791),Anti-Administration
38,"VINING, John",Delaware,1st Congress (1789-1791),Pro-Administration
39,"HUGER, Daniel",South Carolina,1st Congress (1789-1791),Pro-Administration
40,"HARTLEY, Thomas",Pennsylvania,1st Congress (1789-1791),Pro-Administration
41,"SMITH, William Loughton",South Carolina,1st Congress (1789-1791),Pro-Administration
42,"GERRY, Elbridge",Massachusetts,1st Congress (1789-1791),Anti-Administration
43,"STURGES, Jonathan",Connecticut,1st Congress (1789-1791),Pro-Administration
44,"FITZSIMONS, Thomas",Pennsylvania,1st Congress (1789-1791),Pro-Administration
45,"SILVESTER, Peter",New York,1st Congress (1789-1791),Pro-Administration
46,"BOUDINOT, Elias",New Jersey,1st Congress (1789-1791),Pro-Administration
47,"SINNICKSON, Thomas",New Jersey,1st Congress (1789-1791),Pro-Administration
48,"SHERMAN, Roger",Connecticut,1st Congress (1789-1791),Pro-Administration
49,"SCHUREMAN, James",New Jersey,1st Congress (1789-1791),Pro-Administration
50,"CLYMER, George",Pennsylvania,1st Congress (1789-1791),Pro-Administration
51,"HUNTINGTON, Benjamin",Connecticut,1st Congress (1789-1791),Pro-Administration
52,"WYNKOOP, Henry",Pennsylvania,1st Congress (1789-1791),Pro-Administration
53,"PARTRIDGE, George",Massachusetts,1st Congress (1789-1791),Pro-Administration
54,"TRUMBULL, Jonathan, Jr.",Connecticut,1st Congress (1789-1791),Pro-Administration
55,"CADWALADER, Lambert",New Jersey,1st Congress (1789-1791),Pro-Administration
56,"BOURNE, Benjamin",Rhode Island,1st Congress (1789-1791),Pro-Administration
57,"WADSWORTH, Jeremiah",Connecticut,1st Congress (1789-1791),Pro-Administration
58,"LAURANCE, John",New York,1st Congress (1789-1791),Pro-Administration
59,"FOSTER, Abiel",New Hampshire,1st Congress (1789-1791),Pro-Administration
60,"GOODHUE, Benjamin",Massachusetts,1st Congress (1789-1791),Pro-Administration
61,"BENSON, Egbert",New York,1st Congress (1789-1791),Pro-Administration
62,"SEDGWICK, Theodore",Massachusetts,1st Congress (1789-1791),Pro-Administration
63,"THACHER, George",Massachusetts,1st Congress (1789-1791),Pro-Administration
64,"LEONARD, George",Massachusetts,1st Congress (1789-1791),Pro-Administration
65,"AMES, Fisher",Massachusetts,1st Congress (1789-1791),Pro-Administration
66,"SUMTER, Thomas",South Carolina,2nd Congress (1791-1793),Anti-Administration
67,"ASHE, John Baptista",North Carolina,2nd Congress (1791-1793),Anti-Administration
68,"MERCER, John Francis",Maryland,2nd Congress (1791-1793),Anti-Administration
69,"MACON, Nathaniel",North Carolina,2nd Congress (1791-1793),Anti-Administration
70,"BROWN, John",Virginia,2nd Congress (1791-1793),Anti-Administration
71,"MOORE, Andrew",Virginia,2nd Congress (1791-1793),Anti-Administration
72,"VENABLE, Abraham Bedford",Virginia,2nd Congress (1791-1793),Anti-Administration
73,"GREENUP, Christopher",Kentucky,2nd Congress (1791-1793),Anti-Administration
74,"BALDWIN, Abraham",Georgia,2nd Congress (1791-1793),Anti-Administration
75,"TREDWELL, Thomas",New York,2nd Congress (1791-1793),Anti-Administration
76,"WILLIS, Francis",Georgia,2nd Congress (1791-1793),Anti-Administration
77,"PINKNEY, William",Maryland,2nd Congress (1791-1793),Pro-Administration
78,"MADISON, James, Jr.",Virginia,2nd Congress (1791-1793),Anti-Administration
79,"PAGE, John",Virginia,2nd Congress (1791-1793),Anti-Administration
80,"FINDLEY, William",Pennsylvania,2nd Congress (1791-1793),Anti-Administration
81,"GREGG, Andrew",Pennsylvania,2nd Congress (1791-1793),Anti-Administration
82,"ORR, Alexander Dalrymple",Kentucky,2nd Congress (1791-1793),Anti-Administration
83,"MILLEDGE, John",Georgia,2nd Congress (1791-1793),Anti-Administration
84,"SCHOONMAKER, Cornelius Corneliusen",New York,2nd Congress (1791-1793),Anti-Administration
85,"SMITH, Israel",Vermont,2nd Congress (1791-1793),Anti-Administration
86,"WILLIAMSON, Hugh",North Carolina,2nd Congress (1791-1793),Anti-Administration
87,"GILES, William Branch",Virginia,2nd Congress (1791-1793),Anti-Administration
88,"KITCHELL, Aaron",New Jersey,2nd Congress (1791-1793),Pro-Administration
89,"HIESTER, Daniel",Pennsylvania,2nd Congress (1791-1793),Anti-Administration
90,"WHITE, Alexander",Virginia,2nd Congress (1791-1793),Pro-Administration
91,"WAYNE, Anthony",Georgia,2nd Congress (1791-1793),Anti-Administration
92,"GRIFFIN, Samuel",Virginia,2nd Congress (1791-1793),Anti-Administration
93,"TUCKER, Thomas Tudor",South Carolina,2nd Congress (1791-1793),Anti-Administration
94,"PARKER, Josiah",Virginia,2nd Congress (1791-1793),Anti-Administration
95,"STEELE, John",North Carolina,2nd Congress (1791-1793),Pro-Administration
96,"NILES, Nathaniel",Vermont,2nd Congress (1791-1793),Anti-Administration
97,"SENEY, Joshua",Maryland,2nd Congress (1791-1793),Anti-Administration
98,"KEY, Philip",Maryland,2nd Congress (1791-1793),Pro-Administration
99,"MUHLENBERG, Frederick Augustus Conrad",Pennsylvania,2nd Congress (1791-1793),Anti-Administration
100,"LEE, Richard Bland",Virginia,2nd Congress (1791-1793),Pro-Administration
101,"CLARK, Abraham",New Jersey,2nd Congress (1791-1793),Pro-Administration
102,"JACOBS, Israel",Pennsylvania,2nd Congress (1791-1793),Pro-Administration
103,"GROVE, William Barry",North Carolina,2nd Congress (1791-1793),Pro-Administration
104,"LIVERMORE, Samuel",New Hampshire,2nd Congress (1791-1793),Pro-Administration
105,"STERETT, Samuel",Maryland,2nd Congress (1791-1793),Anti-Administration
106,"GILMAN, Nicholas",New Hampshire,2nd Congress (1791-1793),Pro-Administration
107,"MURRAY, William Vans",Maryland,2nd Congress (1791-1793),Pro-Administration
108,"VINING, John",Delaware,2nd Congress (1791-1793),Pro-Administration
109,"HUGER, Daniel",South Carolina,2nd Congress (1791-1793),Pro-Administration
110,"SMITH, Jeremiah",New Hampshire,2nd Congress (1791-1793),Pro-Administration
111,"HARTLEY, Thomas",Pennsylvania,2nd Congress (1791-1793),Pro-Administration
112,"SMITH, William Loughton",South Carolina,2nd Congress (1791-1793),Pro-Administration
113,"DAYTON, Jonathan",New Jersey,2nd Congress (1791-1793),Pro-Administration
114,"BARNWELL, Robert",South Carolina,2nd Congress (1791-1793),Pro-Administration
115,"GERRY, Elbridge",Massachusetts,2nd Congress (1791-1793),Anti-Administration
116,"STURGES, Jonathan",Connecticut,2nd Congress (1791-1793),Pro-Administration
117,"FITZSIMONS, Thomas",Pennsylvania,2nd Congress (1791-1793),Pro-Administration
118,"SILVESTER, Peter",New York,2nd Congress (1791-1793),Pro-Administration
119,"GORDON, James",New York,2nd Congress (1791-1793),Pro-Administration
120,"BOUDINOT, Elias",New Jersey,2nd Congress (1791-1793),Pro-Administration
121,"KITTERA, John Wilkes",Pennsylvania,2nd Congress (1791-1793),Pro-Administration
122,"HILLHOUSE, James",Connecticut,2nd Congress (1791-1793),Pro-Administration
123,"TRUMBULL, Jonathan, Jr.",Connecticut,2nd Congress (1791-1793),Pro-Administration
124,"BOURNE, Benjamin",Rhode Island,2nd Congress (1791-1793),Pro-Administration
125,"WADSWORTH, Jeremiah",Connecticut,2nd Congress (1791-1793),Pro-Administration
126,"LAURANCE, John",New York,2nd Congress (1791-1793),Pro-Administration
127,"GOODHUE, Benjamin",Massachusetts,2nd Congress (1791-1793),Pro-Administration
128,"HINDMAN, William",Maryland,2nd Congress (1791-1793),Pro-Administration
129,"BENSON, Egbert",New York,2nd Congress (1791-1793),Pro-Administration
130,"LEARNED, Amasa",Connecticut,2nd Congress (1791-1793),Pro-Administration
131,"WARD, Artemas",Massachusetts,2nd Congress (1791-1793),Pro-Administration
132,"SEDGWICK, Theodore",Massachusetts,2nd Congress (1791-1793),Pro-Administration
133,"THACHER, George",Massachusetts,2nd Congress (1791-1793),Pro-Administration
134,"LEONARD, George",Massachusetts,2nd Congress (1791-1793),Pro-Administration
135,"AMES, Fisher",Massachusetts,2nd Congress (1791-1793),Pro-Administration
136,"BOURNE, Shearjashub",Massachusetts,2nd Congress (1791-1793),Pro-Administration
137,"SHEREDINE, Upton",Maryland,2nd Congress (1791-1793),Anti-Administration
138,"McDOWELL, Joseph",North Carolina,3rd Congress (1793-1795),Anti-Administration
139,"WALKER, Francis",Virginia,3rd Congress (1793-1795),Anti-Administration
140,"MERCER, John Francis",Maryland,3rd Congress (1793-1795),Anti-Administration
141,"LOCKE, Matthew",North Carolina,3rd Congress (1793-1795),Anti-Administration
142,"BENTON, Lemuel",South Carolina,3rd Congress (1793-1795),Anti-Administration
143,"COLES, Isaac",Virginia,3rd Congress (1793-1795),Anti-Administration
144,"MEBANE, Alexander",North Carolina,3rd Congress (1793-1795),Anti-Administration
145,"MACON, Nathaniel",North Carolina,3rd Congress (1793-1795),Anti-Administration
146,"BLOUNT, Thomas",North Carolina,3rd Congress (1793-1795),Anti-Administration
147,"MOORE, Andrew",Virginia,3rd Congress (1793-1795),Anti-Administration
148,"VENABLE, Abraham Bedford",Virginia,3rd Congress (1793-1795),Anti-Administration
149,"NEW, Anthony",Virginia,3rd Congress (1793-1795),Anti-Administration
150,"WINN, Richard",South Carolina,3rd Congress (1793-1795),Anti-Administration
151,"GREENUP, Christopher",Kentucky,3rd Congress (1793-1795),Anti-Administration
152,"BALDWIN, Abraham",Georgia,3rd Congress (1793-1795),Anti-Administration
153,"WILLIAMS, Benjamin",North Carolina,3rd Congress (1793-1795),Anti-Administration
154,"TREDWELL, Thomas",New York,3rd Congress (1793-1795),Anti-Administration
155,"SMILIE, John",Pennsylvania,3rd Congress (1793-1795),Anti-Administration
156,"BAILEY, Theodorus",New York,3rd Congress (1793-1795),Anti-Administration
157,"LYMAN, William",Massachusetts,3rd Congress (1793-1795),Anti-Administration
158,"PATTEN, John",Delaware,3rd Congress (1793-1795),Anti-Administration
159,"DAWSON, William Johnson",North Carolina,3rd Congress (1793-1795),Anti-Administration
160,"PRESTON, Francis",Virginia,3rd Congress (1793-1795),Anti-Administration
161,"WINSTON, Joseph",North Carolina,3rd Congress (1793-1795),Anti-Administration
162,"CLAIBORNE, Thomas",Virginia,3rd Congress (1793-1795),Anti-Administration
163,"GILLESPIE, James",North Carolina,3rd Congress (1793-1795),Anti-Administration
164,"RUTHERFORD, Robert",Virginia,3rd Congress (1793-1795),Anti-Administration
165,"NICHOLAS, John",Virginia,3rd Congress (1793-1795),Anti-Administration
166,"MADISON, James, Jr.",Virginia,3rd Congress (1793-1795),Anti-Administration
167,"HARRISON, Carter Bassett",Virginia,3rd Congress (1793-1795),Anti-Administration
168,"PAGE, John",Virginia,3rd Congress (1793-1795),Anti-Administration
169,"WINGATE, Paine",New Hampshire,3rd Congress (1793-1795),Pro-Administration
170,"CHRISTIE, Gabriel",Maryland,3rd Congress (1793-1795),Anti-Administration
171,"FINDLEY, William",Pennsylvania,3rd Congress (1793-1795),Anti-Administration
172,"GREGG, Andrew",Pennsylvania,3rd Congress (1793-1795),Anti-Administration
173,"ORR, Alexander Dalrymple",Kentucky,3rd Congress (1793-1795),Anti-Administration
174,"HANCOCK, George",Virginia,3rd Congress (1793-1795),Pro-Administration
175,"NEVILLE, Joseph",Virginia,3rd Congress (1793-1795),Anti-Administration
176,"HEATH, John",Virginia,3rd Congress (1793-1795),Anti-Administration
177,"SMITH, Israel",Vermont,3rd Congress (1793-1795),Anti-Administration
178,"CARNES, Thomas Petters",Georgia,3rd Congress (1793-1795),Anti-Administration
179,"GILES, William Branch",Virginia,3rd Congress (1793-1795),Anti-Administration
180,"SMITH, Samuel",Maryland,3rd Congress (1793-1795),Anti-Administration
181,"VAN CORTLANDT, Philip",New York,3rd Congress (1793-1795),Anti-Administration
182,"KITCHELL, Aaron",New Jersey,3rd Congress (1793-1795),Pro-Administration
183,"HIESTER, Daniel",Pennsylvania,3rd Congress (1793-1795),Anti-Administration
184,"MUHLENBERG, John Peter Gabriel",Pennsylvania,3rd Congress (1793-1795),Anti-Administration
185,"SPRIGG, Thomas",Maryland,3rd Congress (1793-1795),Anti-Administration
186,"IRVINE, William",Pennsylvania,3rd Congress (1793-1795),Anti-Administration
187,"DEARBORN, Henry",Massachusetts,3rd Congress (1793-1795),Anti-Administration
188,"MONTGOMERY, William",Pennsylvania,3rd Congress (1793-1795),Anti-Administration
189,"HUNTER, John",South Carolina,3rd Congress (1793-1795),Anti-Administration
190,"GRIFFIN, Samuel",Virginia,3rd Congress (1793-1795),Pro-Administration
191,"GILLON, Alexander",South Carolina,3rd Congress (1793-1795),Anti-Administration
192,"PARKER, Josiah",Virginia,3rd Congress (1793-1795),Pro-Administration
193,"SHERBURNE, John Samuel",New Hampshire,3rd Congress (1793-1795),Anti-Administration
194,"NILES, Nathaniel",Vermont,3rd Congress (1793-1795),Anti-Administration
195,"MUHLENBERG, Frederick Augustus Conrad",Pennsylvania,3rd Congress (1793-1795),Anti-Administration
196,"LEE, Richard Bland",Virginia,3rd Congress (1793-1795),Pro-Administration
197,"CLARK, Abraham",New Jersey,3rd Congress (1793-1795),Pro-Administration
198,"DENT, George",Maryland,3rd Congress (1793-1795),Pro-Administration
199,"ARMSTRONG, James",Pennsylvania,3rd Congress (1793-1795),Pro-Administration
200,"GROVE, William Barry",North Carolina,3rd Congress (1793-1795),Pro-Administration
201,"SCOTT, Thomas",Pennsylvania,3rd Congress (1793-1795),Pro-Administration
202,"PICKENS, Andrew",South Carolina,3rd Congress (1793-1795),Anti-Administration
203,"GILMAN, Nicholas",New Hampshire,3rd Congress (1793-1795),Pro-Administration
204,"MURRAY, William Vans",Maryland,3rd Congress (1793-1795),Pro-Administration
205,"SMITH, Jeremiah",New Hampshire,3rd Congress (1793-1795),Pro-Administration
206,"HARTLEY, Thomas",Pennsylvania,3rd Congress (1793-1795),Pro-Administration
207,"DEXTER, Samuel",Massachusetts,3rd Congress (1793-1795),Pro-Administration
208,"HARPER, Robert Goodloe",South Carolina,3rd Congress (1793-1795),Pro-Administration
209,"SMITH, William Loughton",South Carolina,3rd Congress (1793-1795),Pro-Administration
210,"DAYTON, Jonathan",New Jersey,3rd Congress (1793-1795),Pro-Administration
211,"SWIFT, Zephaniah",Connecticut,3rd Congress (1793-1795),Pro-Administration
212,"COIT, Joshua",Connecticut,3rd Congress (1793-1795),Pro-Administration
213,"BEATTY, John",New Jersey,3rd Congress (1793-1795),Pro-Administration
214,"FITZSIMONS, Thomas",Pennsylvania,3rd Congress (1793-1795),Pro-Administration
215,"GORDON, James",New York,3rd Congress (1793-1795),Pro-Administration
216,"BOUDINOT, Elias",New Jersey,3rd Congress (1793-1795),Pro-Administration
217,"KITTERA, John Wilkes",Pennsylvania,3rd Congress (1793-1795),Pro-Administration
218,"HOLTEN, Samuel",Massachusetts,3rd Congress (1793-1795),Anti-Administration
219,"VAN GAASBECK, Peter",New York,3rd Congress (1793-1795),Pro-Administration
220,"WADSWORTH, Peleg",Massachusetts,3rd Congress (1793-1795),Pro-Administration
221,"VAN ALEN, John Evert",New York,3rd Congress (1793-1795),Pro-Administration
222,"HILLHOUSE, James",Connecticut,3rd Congress (1793-1795),Pro-Administration
223,"FOSTER, Dwight",Massachusetts,3rd Congress (1793-1795),Pro-Administration
224,"TRUMBULL, Jonathan, Jr.",Connecticut,3rd Congress (1793-1795),Pro-Administration
225,"CADWALADER, Lambert",New Jersey,3rd Congress (1793-1795),Pro-Administration
226,"BOURNE, Benjamin",Rhode Island,3rd Congress (1793-1795),Pro-Administration
227,"TRACY, Uriah",Connecticut,3rd Congress (1793-1795),Pro-Administration
228,"LATIMER, Henry",Delaware,3rd Congress (1793-1795),Pro-Administration
229,"MALBONE, Francis",Rhode Island,3rd Congress (1793-1795),Pro-Administration
230,"WADSWORTH, Jeremiah",Connecticut,3rd Congress (1793-1795),Pro-Administration
231,"GLEN, Henry",New York,3rd Congress (1793-1795),Pro-Administration
232,"COBB, David",Massachusetts,3rd Congress (1793-1795),Pro-Administration
233,"GILBERT, Ezekiel",New York,3rd Congress (1793-1795),Pro-Administration
234,"GOODHUE, Benjamin",Massachusetts,3rd Congress (1793-1795),Pro-Administration
235,"WATTS, John",New York,3rd Congress (1793-1795),Pro-Administration
236,"HINDMAN, William",Maryland,3rd Congress (1793-1795),Pro-Administration
237,"COFFIN, Peleg, Jr.",Massachusetts,3rd Congress (1793-1795),Pro-Administration
238,"LEARNED, Amasa",Connecticut,3rd Congress (1793-1795),Pro-Administration
239,"WARD, Artemas",Massachusetts,3rd Congress (1793-1795),Pro-Administration
240,"SEDGWICK, Theodore",Massachusetts,3rd Congress (1793-1795),Pro-Administration
241,"THACHER, George",Massachusetts,3rd Congress (1793-1795),Pro-Administration
242,"AMES, Fisher",Massachusetts,3rd Congress (1793-1795),Pro-Administration
243,"BOURNE, Shearjashub",Massachusetts,3rd Congress (1793-1795),Pro-Administration
244,"TALBOT, Silas",New York,3rd Congress (1793-1795),Pro-Administration
245,"EDWARDS, Benjamin",Maryland,3rd Congress (1793-1795),Pro-Administration
246,"FORREST, Uriah",Maryland,3rd Congress (1793-1795),Pro-Administration
247,"DUVALL, Gabriel",Maryland,3rd Congress (1793-1795),Anti-Administration
248,"JACKSON, George",Virginia,4th Congress (1795-1797),Democrat-Republican
249,"JACKSON, Andrew",Tennessee,4th Congress (1795-1797),Democrat-Republican
250,"CABELL, Samuel Jordan",Virginia,4th Congress (1795-1797),Democrat-Republican
251,"LOCKE, Matthew",North Carolina,4th Congress (1795-1797),Democrat-Republican
252,"BENTON, Lemuel",South Carolina,4th Congress (1795-1797),Democrat-Republican
253,"MACLAY, Samuel",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
254,"BARD, David",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
255,"COLES, Isaac",Virginia,4th Congress (1795-1797),Democrat-Republican
256,"MACON, Nathaniel",North Carolina,4th Congress (1795-1797),Democrat-Republican
257,"BLOUNT, Thomas",North Carolina,4th Congress (1795-1797),Democrat-Republican
258,"CLOPTON, John",Virginia,4th Congress (1795-1797),Democrat-Republican
259,"MOORE, Andrew",Virginia,4th Congress (1795-1797),Democrat-Republican
260,"VENABLE, Abraham Bedford",Virginia,4th Congress (1795-1797),Democrat-Republican
261,"HOLLAND, James",North Carolina,4th Congress (1795-1797),Democrat-Republican
262,"NEW, Anthony",Virginia,4th Congress (1795-1797),Democrat-Republican
263,"BRENT, Richard",Virginia,4th Congress (1795-1797),Democrat-Republican
264,"FRANKLIN, Jesse",North Carolina,4th Congress (1795-1797),Democrat-Republican
265,"WINN, Richard",South Carolina,4th Congress (1795-1797),Democrat-Republican
266,"GREENUP, Christopher",Kentucky,4th Congress (1795-1797),Democrat-Republican
267,"STRUDWICK, William Francis",North Carolina,4th Congress (1795-1797),Federalist
268,"BALDWIN, Abraham",Georgia,4th Congress (1795-1797),Democrat-Republican
269,"BRYAN, Nathan",North Carolina,4th Congress (1795-1797),Democrat-Republican
270,"HAVENS, Jonathan Nicoll",New York,4th Congress (1795-1797),Democrat-Republican
271,"BAILEY, Theodorus",New York,4th Congress (1795-1797),Democrat-Republican
272,"LYMAN, William",Massachusetts,4th Congress (1795-1797),Democrat-Republican
273,"PATTEN, John",Delaware,4th Congress (1795-1797),Democrat-Republican
274,"PRESTON, Francis",Virginia,4th Congress (1795-1797),Democrat-Republican
275,"GALLATIN, Albert",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
276,"CLAIBORNE, Thomas",Virginia,4th Congress (1795-1797),Democrat-Republican
277,"GILLESPIE, James",North Carolina,4th Congress (1795-1797),Democrat-Republican
278,"RUTHERFORD, Robert",Virginia,4th Congress (1795-1797),Democrat-Republican
279,"TATOM, Absalom",North Carolina,4th Congress (1795-1797),Democrat-Republican
280,"HAMPTON, Wade",South Carolina,4th Congress (1795-1797),Democrat-Republican
281,"NICHOLAS, John",Virginia,4th Congress (1795-1797),Democrat-Republican
282,"VARNUM, Joseph Bradley",Massachusetts,4th Congress (1795-1797),Democrat-Republican
283,"BURGES, Dempsey",North Carolina,4th Congress (1795-1797),Democrat-Republican
284,"MADISON, James, Jr.",Virginia,4th Congress (1795-1797),Democrat-Republican
285,"HARRISON, Carter Bassett",Virginia,4th Congress (1795-1797),Democrat-Republican
286,"SKINNER, Thomson Joseph",Massachusetts,4th Congress (1795-1797),Democrat-Republican
287,"PAGE, John",Virginia,4th Congress (1795-1797),Democrat-Republican
288,"CHRISTIE, Gabriel",Maryland,4th Congress (1795-1797),Democrat-Republican
289,"FINDLEY, William",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
290,"GREGG, Andrew",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
291,"ORR, Alexander Dalrymple",Kentucky,4th Congress (1795-1797),Democrat-Republican
292,"SPRIGG, Richard, Jr.",Maryland,4th Congress (1795-1797),Democrat-Republican
293,"MILLEDGE, John",Georgia,4th Congress (1795-1797),Democrat-Republican
294,"LIVINGSTON, Edward",New York,4th Congress (1795-1797),Democrat-Republican
295,"HANCOCK, George",Virginia,4th Congress (1795-1797),Federalist
296,"HEATH, John",Virginia,4th Congress (1795-1797),Democrat-Republican
297,"EARLE, Samuel",South Carolina,4th Congress (1795-1797),Democrat-Republican
298,"SMITH, Israel",Vermont,4th Congress (1795-1797),Democrat-Republican
299,"GILES, William Branch",Virginia,4th Congress (1795-1797),Democrat-Republican
300,"SWANWICK, John",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
301,"RICHARDS, John",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
302,"SMITH, Samuel",Maryland,4th Congress (1795-1797),Democrat-Republican
303,"VAN CORTLANDT, Philip",New York,4th Congress (1795-1797),Democrat-Republican
304,"KITCHELL, Aaron",New Jersey,4th Congress (1795-1797),Federalist
305,"HIESTER, Daniel",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
306,"SPRIGG, Thomas",Maryland,4th Congress (1795-1797),Democrat-Republican
307,"HATHORN, John",New York,4th Congress (1795-1797),Democrat-Republican
308,"DEARBORN, Henry",Massachusetts,4th Congress (1795-1797),Democrat-Republican
309,"CRABB, Jeremiah",Maryland,4th Congress (1795-1797),Federalist
310,"PARKER, Josiah",Virginia,4th Congress (1795-1797),Federalist
311,"SHERBURNE, John Samuel",New Hampshire,4th Congress (1795-1797),Democrat-Republican
312,"FREEMAN, Nathaniel, Jr.",Massachusetts,4th Congress (1795-1797),Federalist
313,"MUHLENBERG, Frederick Augustus Conrad",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
314,"DENT, George",Maryland,4th Congress (1795-1797),Federalist
315,"GROVE, William Barry",North Carolina,4th Congress (1795-1797),Federalist
316,"GILMAN, Nicholas",New Hampshire,4th Congress (1795-1797),Federalist
317,"SMITH, Isaac",New Jersey,4th Congress (1795-1797),Federalist
318,"HENDERSON, Thomas",New Jersey,4th Congress (1795-1797),Federalist
319,"MURRAY, William Vans",Maryland,4th Congress (1795-1797),Federalist
320,"BUCK, Daniel",Vermont,4th Congress (1795-1797),Federalist
321,"SMITH, Jeremiah",New Hampshire,4th Congress (1795-1797),Federalist
322,"HARTLEY, Thomas",Pennsylvania,4th Congress (1795-1797),Federalist
323,"WILLIAMS, John",New York,4th Congress (1795-1797),Federalist
324,"EGE, George",Pennsylvania,4th Congress (1795-1797),Federalist
325,"HARPER, Robert Goodloe",South Carolina,4th Congress (1795-1797),Federalist
326,"SMITH, William Loughton",South Carolina,4th Congress (1795-1797),Federalist
327,"DAYTON, Jonathan",New Jersey,4th Congress (1795-1797),Federalist
328,"SWIFT, Zephaniah",Connecticut,4th Congress (1795-1797),Federalist
329,"COIT, Joshua",Connecticut,4th Congress (1795-1797),Federalist
330,"REED, John",Massachusetts,4th Congress (1795-1797),Federalist
331,"POTTER, Elisha Reynolds",Rhode Island,4th Congress (1795-1797),Federalist
332,"THOMSON, Mark",New Jersey,4th Congress (1795-1797),Federalist
333,"THOMAS, Richard",Pennsylvania,4th Congress (1795-1797),Federalist
334,"KITTERA, John Wilkes",Pennsylvania,4th Congress (1795-1797),Federalist
335,"LYMAN, Samuel",Massachusetts,4th Congress (1795-1797),Federalist
336,"CRAIK, William",Maryland,4th Congress (1795-1797),Federalist
337,"WADSWORTH, Peleg",Massachusetts,4th Congress (1795-1797),Federalist
338,"SMITH, Nathaniel",Connecticut,4th Congress (1795-1797),Federalist
339,"VAN ALEN, John Evert",New York,4th Congress (1795-1797),Federalist
340,"SEWALL, Samuel",Massachusetts,4th Congress (1795-1797),Federalist
341,"HILLHOUSE, James",Connecticut,4th Congress (1795-1797),Federalist
342,"FOSTER, Dwight",Massachusetts,4th Congress (1795-1797),Federalist
343,"BRADBURY, Theophilus",Massachusetts,4th Congress (1795-1797),Federalist
344,"BOURNE, Benjamin",Rhode Island,4th Congress (1795-1797),Federalist
